iter	Passed	Remaining
0	0	95
1	1	80
2	2	72
3	2	64
4	3	64
5	3	62
6	4	60
7	5	58
8	5	56
9	6	55
10	6	54
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	10	49
17	10	48
18	11	47
19	11	47
20	12	46
21	12	45
22	13	45
23	14	44
24	14	44
25	15	43
26	15	43
27	16	42
28	17	42
29	17	41
30	18	41
31	19	40
32	19	39
33	20	39
34	20	38
35	21	38
36	21	37
37	22	36
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	27	31
46	27	31
47	28	30
48	28	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	33	27
55	33	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	47	14
76	47	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	52	9
84	52	9
85	53	8
86	53	8
87	54	7
88	54	6
89	55	6
90	56	5
91	56	4
92	57	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	61	0
99	61	0
